shift_id,employee_id,site_id,shift_date,clock_in_time,clock_out_time
S100048,E1002,ST-02,2026-06-08,07:00,15:15
S100191,E1005,ST-05,2026-06-08,08:00,16:15
S100355,E1009,ST-02,2026-06-08,08:00,20:15
S100449,E1011,ST-01,2026-06-08,09:30,19:30
S100574,E1014,ST-03,2026-06-08,06:00,17:30
S100607,E1015,ST-05,2026-06-08,08:15,18:30
S100741,E1018,ST-01,2026-06-08,06:00,15:15
S100781,E1019,ST-05,2026-06-08,06:30,15:30
S100826,E1020,ST-03,2026-06-08,08:15,17:30
S100868,E1021,ST-04,2026-06-08,06:00,18:15
S100903,E1022,ST-06,2026-06-08,07:30,17:00
S100948,E1023,ST-01,2026-06-08,06:30,15:45
S100993,E1024,ST-01,2026-06-08,06:30,15:30
S101088,E1026,ST-05,2026-06-08,09:00,21:45
S101125,E1027,ST-06,2026-06-08,08:00,17:15
S101177,E1028,ST-01,2026-06-08,07:30,17:15
S101219,E1029,ST-04,2026-06-08,07:00,15:30
S101321,E1031,ST-05,2026-06-08,08:00,18:15
S101367,E1032,ST-01,2026-06-08,06:15,15:00
S101572,E1037,ST-03,2026-06-08,19:30,08:00
S101740,E1041,ST-03,2026-06-08,06:00,15:45
S101824,E1043,ST-03,2026-06-08,08:00,17:15
S101874,E1044,ST-02,2026-06-08,18:30,06:30
S101917,E1045,ST-05,2026-06-08,08:30,18:30
S101972,E1046,ST-03,2026-06-08,09:30,18:45
S102017,E1047,ST-06,2026-06-08,06:00,15:30
S102059,E1048,ST-01,2026-06-08,07:00,17:15
S102107,E1049,ST-01,2026-06-08,08:00,17:45
S102154,E1050,ST-01,2026-06-08,08:00,20:45
S102190,E1051,ST-06,2026-06-08,08:00,17:45
S102242,E1052,ST-01,2026-06-08,09:30,18:00
S102501,E1058,ST-04,2026-06-08,07:00,15:45
S102549,E1059,ST-05,2026-06-08,08:15,17:45
S102600,E1060,ST-02,2026-06-08,09:15,18:45
S102744,E1063,ST-05,2026-06-08,07:00,15:15
S102792,E1064,ST-04,2026-06-08,08:00,16:00
S102915,E1067,ST-06,2026-06-08,07:00,17:00
S102963,E1068,ST-01,2026-06-08,08:00,18:00
S103010,E1069,ST-05,2026-06-08,07:30,19:00
S103049,E1070,ST-05,2026-06-08,20:00,06:45
S103087,E1071,ST-02,2026-06-08,08:15,19:15
S103136,E1072,ST-06,2026-06-08,06:00,15:30
S103222,E1074,ST-05,2026-06-08,08:15,16:30
S103274,E1075,ST-06,2026-06-08,08:00,17:00
