employee_id,week_starting,total_hours,overtime_hours,breached
E1001,2026-06-08,39.5,0.0,0
E1002,2026-06-08,46.75,1.75,0
E1003,2026-06-08,38.5,0.0,0
E1004,2026-06-08,37.25,0.0,0
E1005,2026-06-08,47.75,2.75,0
E1006,2026-06-08,26.5,0.0,0
E1007,2026-06-08,44.5,0.0,0
E1008,2026-06-08,43.5,0.0,0
E1009,2026-06-08,45.0,0.0,0
E1010,2026-06-08,51.75,6.75,0
E1011,2026-06-08,48.75,3.75,0
E1012,2026-06-08,43.25,0.0,0
E1013,2026-06-08,26.0,0.0,0
E1014,2026-06-08,47.25,2.25,0
E1015,2026-06-08,49.25,4.25,0
E1016,2026-06-08,45.25,0.25,0
E1017,2026-06-08,37.5,0.0,0
E1018,2026-06-08,32.0,0.0,0
E1019,2026-06-08,40.0,0.0,0
E1020,2026-06-08,34.25,0.0,0
E1021,2026-06-08,34.75,0.0,0
E1022,2026-06-08,43.0,0.0,0
E1023,2026-06-08,40.75,0.0,0
E1024,2026-06-08,39.0,0.0,0
E1025,2026-06-08,48.25,3.25,0
E1026,2026-06-08,36.0,0.0,0
E1027,2026-06-08,44.25,0.0,0
E1028,2026-06-08,35.0,0.0,0
E1029,2026-06-08,48.5,3.5,0
E1030,2026-06-08,30.5,0.0,0
E1031,2026-06-08,42.25,0.0,0
E1032,2026-06-08,40.75,0.0,0
E1033,2026-06-08,44.5,0.0,0
E1034,2026-06-08,40.0,0.0,0
E1035,2026-06-08,35.25,0.0,0
E1036,2026-06-08,27.5,0.0,0
E1037,2026-06-08,37.0,0.0,0
E1038,2026-06-08,39.0,0.0,0
E1039,2026-06-08,49.5,4.5,0
E1040,2026-06-08,50.0,5.0,0
E1041,2026-06-08,46.5,1.5,0
E1042,2026-06-08,49.25,4.25,0
E1043,2026-06-08,40.5,0.0,0
E1044,2026-06-08,42.75,0.0,0
E1045,2026-06-08,44.0,0.0,0
E1046,2026-06-08,43.25,0.0,0
E1047,2026-06-08,42.5,0.0,0
E1048,2026-06-08,32.0,0.0,0
E1049,2026-06-08,42.0,0.0,0
E1050,2026-06-08,44.75,0.0,0
E1051,2026-06-08,44.75,0.0,0
E1052,2026-06-08,47.25,2.25,0
E1053,2026-06-08,37.75,0.0,0
E1054,2026-06-08,38.75,0.0,0
E1055,2026-06-08,24.5,0.0,0
E1056,2026-06-08,45.75,0.75,0
E1057,2026-06-08,41.25,0.0,0
E1058,2026-06-08,44.75,0.0,0
E1059,2026-06-08,44.75,0.0,0
E1060,2026-06-08,45.0,0.0,0
E1061,2026-06-08,51.0,6.0,0
E1062,2026-06-08,40.0,0.0,0
E1063,2026-06-08,45.0,0.0,0
E1064,2026-06-08,36.25,0.0,0
E1065,2026-06-08,25.0,0.0,0
E1066,2026-06-08,40.75,0.0,0
E1067,2026-06-08,41.75,0.0,0
E1068,2026-06-08,46.75,1.75,0
E1069,2026-06-08,48.75,3.75,0
E1070,2026-06-08,36.5,0.0,0
E1071,2026-06-08,42.0,0.0,0
E1072,2026-06-08,38.0,0.0,0
E1073,2026-06-08,42.25,0.0,0
E1074,2026-06-08,50.0,5.0,0
E1075,2026-06-08,43.5,0.0,0
E1076,2026-06-08,40.75,0.0,0
E1077,2026-06-08,43.75,0.0,0
E1078,2026-06-08,38.0,0.0,0
E1079,2026-06-08,47.75,2.75,0
E1080,2026-06-08,40.25,0.0,0
E1081,2026-06-08,47.25,2.25,0
E1082,2026-06-08,37.75,0.0,0
E1083,2026-06-08,38.0,0.0,0
E1084,2026-06-08,44.75,0.0,0
E1085,2026-06-08,43.0,0.0,0
E1086,2026-06-08,59.0,14.0,1
E1087,2026-06-08,35.5,0.0,0
E1088,2026-06-08,48.75,3.75,0
E1089,2026-06-08,39.5,0.0,0
E1090,2026-06-08,31.75,0.0,0
E1091,2026-06-08,35.0,0.0,0
E1092,2026-06-08,41.5,0.0,0
E1093,2026-06-08,44.75,0.0,0
E1094,2026-06-08,43.25,0.0,0
E1095,2026-06-08,43.0,0.0,0
E1096,2026-06-08,44.0,0.0,0
E1097,2026-06-08,37.0,0.0,0
E1098,2026-06-08,28.5,0.0,0
E1099,2026-06-08,54.5,9.5,0
E1100,2026-06-08,43.5,0.0,0
E1101,2026-06-08,36.0,0.0,0
E1102,2026-06-08,39.0,0.0,0
E1103,2026-06-08,39.0,0.0,0
E1104,2026-06-08,41.5,0.0,0
E1105,2026-06-08,42.0,0.0,0
E1106,2026-06-08,41.75,0.0,0
E1107,2026-06-08,38.0,0.0,0
E1108,2026-06-08,38.25,0.0,0
E1109,2026-06-08,39.25,0.0,0
E1110,2026-06-08,38.0,0.0,0
E1111,2026-06-08,45.5,0.5,0
E1112,2026-06-08,37.75,0.0,0
E1113,2026-06-08,43.25,0.0,0
E1114,2026-06-08,36.25,0.0,0
E1115,2026-06-08,45.0,0.0,0
E1116,2026-06-08,48.5,3.5,0
E1117,2026-06-08,47.25,2.25,0
E1118,2026-06-08,43.0,0.0,0
E1119,2026-06-08,41.25,0.0,0
E1120,2026-06-08,41.75,0.0,0
E1121,2026-06-08,43.25,0.0,0
E1122,2026-06-08,46.25,1.25,0
E1123,2026-06-08,47.75,2.75,0
E1124,2026-06-08,43.0,0.0,0
E1125,2026-06-08,40.75,0.0,0
E1126,2026-06-08,31.25,0.0,0
E1127,2026-06-08,20.25,0.0,0
E1128,2026-06-08,49.75,4.75,0
E1129,2026-06-08,35.75,0.0,0
E1130,2026-06-08,53.75,8.75,0
E1131,2026-06-08,56.5,11.5,1
E1132,2026-06-08,55.0,10.0,0
E1133,2026-06-08,41.0,0.0,0
E1134,2026-06-08,37.25,0.0,0
E1135,2026-06-08,59.25,14.25,1
E1136,2026-06-08,39.25,0.0,0
E1137,2026-06-08,32.5,0.0,0
E1138,2026-06-08,58.0,13.0,1
E1139,2026-06-08,36.25,0.0,0
E1140,2026-06-08,39.25,0.0,0
E1141,2026-06-08,37.75,0.0,0
E1142,2026-06-08,33.5,0.0,0
E1143,2026-06-08,35.0,0.0,0
E1144,2026-06-08,33.0,0.0,0
E1145,2026-06-08,37.0,0.0,0
E1146,2026-06-08,42.0,0.0,0
E1147,2026-06-08,35.75,0.0,0
E1148,2026-06-08,38.0,0.0,0
E1149,2026-06-08,36.5,0.0,0
E1150,2026-06-08,45.5,0.5,0
E1151,2026-06-08,54.5,9.5,0
E1152,2026-06-08,37.5,0.0,0
E1153,2026-06-08,41.5,0.0,0
E1154,2026-06-08,39.5,0.0,0
E1155,2026-06-08,49.75,4.75,0
E1156,2026-06-08,45.5,0.5,0
E1157,2026-06-08,42.0,0.0,0
E1158,2026-06-08,45.25,0.25,0
E1159,2026-06-08,43.0,0.0,0
E1160,2026-06-08,39.0,0.0,0
E1161,2026-06-08,45.75,0.75,0
E1162,2026-06-08,32.25,0.0,0
E1163,2026-06-08,49.0,4.0,0
E1164,2026-06-08,39.75,0.0,0
E1165,2026-06-08,44.5,0.0,0
E1166,2026-06-08,43.0,0.0,0
E1167,2026-06-08,44.75,0.0,0
E1168,2026-06-08,43.75,0.0,0
E1169,2026-06-08,44.0,0.0,0
E1170,2026-06-08,41.75,0.0,0
E1171,2026-06-08,50.5,5.5,0
E1172,2026-06-08,36.25,0.0,0
E1173,2026-06-08,43.25,0.0,0
E1174,2026-06-08,44.75,0.0,0
E1175,2026-06-08,47.25,2.25,0
E1176,2026-06-08,44.5,0.0,0
E1177,2026-06-08,37.0,0.0,0
E1178,2026-06-08,46.5,1.5,0
E1179,2026-06-08,49.75,4.75,0
E1180,2026-06-08,43.75,0.0,0
E1181,2026-06-08,36.75,0.0,0
E1182,2026-06-08,24.5,0.0,0
E1183,2026-06-08,45.5,0.5,0
E1184,2026-06-08,46.25,1.25,0
E1185,2026-06-08,46.25,1.25,0
E1186,2026-06-08,37.75,0.0,0
E1187,2026-06-08,48.75,3.75,0
E1188,2026-06-08,45.5,0.5,0
E1189,2026-06-08,47.0,2.0,0
E1190,2026-06-08,55.25,10.25,1
E1191,2026-06-08,41.0,0.0,0
E1192,2026-06-08,38.5,0.0,0
E1193,2026-06-08,22.25,0.0,0
E1194,2026-06-08,30.75,0.0,0
E1195,2026-06-08,41.5,0.0,0
E1196,2026-06-08,25.0,0.0,0
E1197,2026-06-08,48.0,3.0,0
E1198,2026-06-08,63.25,18.25,1
E1199,2026-06-08,55.25,10.25,1
E1200,2026-06-08,41.5,0.0,0
E1201,2026-06-08,32.25,0.0,0
E1202,2026-06-08,44.0,0.0,0
E1203,2026-06-08,35.75,0.0,0
E1204,2026-06-08,36.5,0.0,0
E1205,2026-06-08,43.0,0.0,0
E1206,2026-06-08,41.75,0.0,0
E1207,2026-06-08,40.25,0.0,0
E1208,2026-06-08,46.0,1.0,0
E1209,2026-06-08,43.0,0.0,0
E1210,2026-06-08,39.25,0.0,0
E1211,2026-06-08,37.5,0.0,0
E1212,2026-06-08,50.5,5.5,0
E1213,2026-06-08,46.5,1.5,0
E1001,2026-06-15,40.75,0.0,0
E1002,2026-06-15,50.0,5.0,0
E1003,2026-06-15,44.5,0.0,0
E1004,2026-06-15,43.25,0.0,0
E1005,2026-06-15,48.0,3.0,0
E1006,2026-06-15,44.0,0.0,0
E1007,2026-06-15,43.75,0.0,0
E1008,2026-06-15,30.75,0.0,0
E1009,2026-06-15,23.25,0.0,0
E1010,2026-06-15,44.75,0.0,0
E1011,2026-06-15,38.0,0.0,0
E1012,2026-06-15,46.25,1.25,0
E1013,2026-06-15,46.5,1.5,0
E1014,2026-06-15,38.5,0.0,0
E1015,2026-06-15,42.25,0.0,0
E1016,2026-06-15,47.75,2.75,0
E1017,2026-06-15,38.0,0.0,0
E1018,2026-06-15,39.0,0.0,0
E1019,2026-06-15,41.75,0.0,0
E1020,2026-06-15,35.25,0.0,0
E1021,2026-06-15,37.5,0.0,0
E1022,2026-06-15,44.0,0.0,0
E1023,2026-06-15,42.5,0.0,0
E1024,2026-06-15,43.5,0.0,0
E1025,2026-06-15,47.25,2.25,0
E1026,2026-06-15,42.5,0.0,0
E1027,2026-06-15,51.75,6.75,0
E1028,2026-06-15,43.5,0.0,0
E1029,2026-06-15,50.25,5.25,0
E1030,2026-06-15,42.75,0.0,0
E1031,2026-06-15,47.75,2.75,0
E1032,2026-06-15,51.5,6.5,0
E1033,2026-06-15,47.5,2.5,0
E1034,2026-06-15,45.5,0.5,0
E1035,2026-06-15,29.75,0.0,0
E1036,2026-06-15,24.75,0.0,0
E1037,2026-06-15,38.0,0.0,0
E1038,2026-06-15,37.0,0.0,0
E1039,2026-06-15,48.5,3.5,0
E1040,2026-06-15,48.75,3.75,0
E1041,2026-06-15,44.5,0.0,0
E1042,2026-06-15,59.5,14.5,1
E1043,2026-06-15,46.75,1.75,0
E1044,2026-06-15,55.0,10.0,0
E1045,2026-06-15,42.75,0.0,0
E1046,2026-06-15,42.75,0.0,0
E1047,2026-06-15,42.0,0.0,0
E1048,2026-06-15,44.25,0.0,0
E1049,2026-06-15,48.0,3.0,0
E1050,2026-06-15,50.5,5.5,0
E1051,2026-06-15,52.0,7.0,0
E1052,2026-06-15,39.5,0.0,0
E1053,2026-06-15,37.75,0.0,0
E1054,2026-06-15,39.5,0.0,0
E1055,2026-06-15,36.75,0.0,0
E1056,2026-06-15,45.75,0.75,0
E1057,2026-06-15,42.75,0.0,0
E1058,2026-06-15,45.25,0.25,0
E1059,2026-06-15,43.75,0.0,0
E1060,2026-06-15,37.5,0.0,0
E1061,2026-06-15,50.25,5.25,0
E1062,2026-06-15,35.75,0.0,0
E1063,2026-06-15,43.25,0.0,0
E1064,2026-06-15,38.75,0.0,0
E1065,2026-06-15,46.0,1.0,0
E1066,2026-06-15,40.5,0.0,0
E1067,2026-06-15,57.0,12.0,1
E1068,2026-06-15,48.75,3.75,0
E1069,2026-06-15,45.75,0.75,0
E1070,2026-06-15,46.25,1.25,0
E1071,2026-06-15,42.5,0.0,0
E1072,2026-06-15,43.0,0.0,0
E1073,2026-06-15,48.25,3.25,0
E1074,2026-06-15,49.75,4.75,0
E1075,2026-06-15,45.5,0.5,0
E1076,2026-06-15,43.75,0.0,0
E1077,2026-06-15,49.0,4.0,0
E1078,2026-06-15,44.5,0.0,0
E1079,2026-06-15,49.75,4.75,0
E1080,2026-06-15,40.0,0.0,0
E1081,2026-06-15,36.75,0.0,0
E1082,2026-06-15,46.5,1.5,0
E1083,2026-06-15,44.75,0.0,0
